JK MEDICO Pvt Ltd
BIOS LAB PVT.LTD.
Stock And Sales for the period 01-08-2023 to 31-08-2023

Flag,Product Name,Pack,Rate,Previous Last Sale,Previous Sale,Opening,Receipt,Sales,Sales RTN,Sale Value,Purchase RTN,Others,Closing,Cl Value
,ACCUTHYRO 100,120 TAB,101.56,19,25,16,10,10,0,1129,0,0,16,1625

,ACCUTHYRO 12.5,120 TAB,127.29,6,3,32,0,7,0,990,0,0,25,3182

,ACCUTHYRO 25,120 TAB,111.21,26,26,18,10,13,0,1483,0,0,15,1668

,ACCUTHYRO 50,120 TAB,79.07,20,21,17,30,28,0,2460,0,0,19,1502

,ACCUTHYRO 75,120 TAB,109.93,13,16,14,10,11,0,1344,0,0,13,1429

,B-CLAMI,10 T,144.64,5,22,3,10,12,0,1768,0,0,3,434

,BIO-ANXIT,10 T,52.07,373,476,419,500,608,31,34571,0,0,311,16194

,BIO-ANXIT CZ 0.25,10 T,50.91,24,36,38,20,31,0,1754,0,0,27,1375

,BIO-ANXIT CZ 0.50,10 T,52.07,10,13,23,10,16,0,926,0,0,17,885

,BIO-ANXIT NT,10 T,57.86,36,48,31,30,25,0,1607,0,0,36,2083

,BIO-AZAPIN,10 T,67.89,208,142,181,250,336,0,23383,0,0,95,6450

,BIOBETA AM,10 T.,46.29,0,0,12,10,12,0,617,0,0,10,463

,BIO-CERA,10 T,0,0,0,0,0,0,0,0,0,0,0,0

,BIOMET G1,10 TAB,19.09,129,127,119,120,177,0,3754,0,0,62,1184

**,BIOMET G1 FORTE,10 T,27.77,0,0,13,0,0,0,0,0,0,13,361

**,BIOMET G1 P ,10 TAB,38.18,81,69,76,50,80,0,3352,0,0,46,1756

**,BIOMET G2,10 T,20.83,242,228,242,170,284,0,6572,0,0,128,2666

**,BIOMET G2 FORTE,10 T,31.82,48,42,29,20,14,0,495,0,0,35,1114

**,BIOMET G2 P,10 TAB,41.79,84,109,132,80,131,0,6035,0,0,81,3385

**,BIOMET PG,10 T,38.18,118,122,131,150,148,0,6280,0,0,133,5078

